table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,eurosat,ViT-B/16,4,1,4,v,text,all,0.25,78.72.,OK,2026-06-14T23:43:39,497
fig3,eurosat,ViT-B/16,4,1,4,v,both,all,0.25,87.30.,OK,2026-06-14T23:51:56,516
fig3,eurosat,ViT-B/16,4,1,4,o,vision,all,0.25,85.01.,OK,2026-06-15T00:00:32,462
fig3,imagenet,ViT-B/16,4,1,1,q,both,all,0.25,70.83.,OK,2026-06-14T23:46:51,1522
fig3,eurosat,ViT-B/16,4,1,4,o,text,all,0.25,78.85.,OK,2026-06-15T00:08:14,481
fig3,imagenet,ViT-B/16,4,1,1,v,vision,all,0.25,69.44.,OK,2026-06-15T00:12:13,478
fig3,eurosat,ViT-B/16,4,1,4,o,both,all,0.25,84.23.,OK,2026-06-15T00:16:15,546
fig3,eurosat,ViT-B/16,4,1,4,q_v,vision,all,0.25,87.74.,OK,2026-06-15T00:25:21,483
fig3,eurosat,ViT-B/16,4,1,4,q_v,text,all,0.25,79.96.,OK,2026-06-15T00:33:24,436
fig3,imagenet,ViT-B/16,4,1,1,v,text,all,0.25,70.81.,OK,2026-06-15T00:20:11,1413
fig3,eurosat,ViT-B/16,4,1,4,q_v,both,all,0.25,85.01.,OK,2026-06-15T00:40:40,573
fig3,eurosat,ViT-B/16,4,1,4,q_v_k,vision,all,0.25,88.12.,OK,2026-06-15T00:50:13,516
fig3,eurosat,ViT-B/16,4,1,4,q_v_k,text,all,0.25,79.06.,OK,2026-06-15T00:58:49,469
fig3,imagenet,ViT-B/16,4,1,1,v,both,all,0.25,71.35.,OK,2026-06-15T00:43:44,1514
fig3,eurosat,ViT-B/16,4,1,4,q_v_k,both,all,0.25,87.52.,OK,2026-06-15T01:06:38,562
fig3,imagenet,ViT-B/16,4,1,1,o,vision,all,0.25,69.53.,OK,2026-06-15T01:08:58,476
fig3,eurosat,ViT-B/16,4,1,4,q_v_k_o,vision,all,0.25,87.94.,OK,2026-06-15T01:16:00,512
fig3,eurosat,ViT-B/16,4,1,4,q_v_k_o,text,all,0.25,78.38.,OK,2026-06-15T01:24:32,499
fig3,imagenet,ViT-B/16,4,1,1,o,text,all,0.25,70.75.,OK,2026-06-15T01:16:54,1400
fig3,eurosat,ViT-B/16,4,1,4,q_v_k_o,both,all,0.25,87.84.,OK,2026-06-15T01:32:51,642
fig3,eurosat,ViT-B/16,4,1,8,k,vision,all,0.25,86.83.,OK,2026-06-15T01:43:33,449
fig3,eurosat,ViT-B/16,4,1,8,k,text,all,0.25,75.95.,OK,2026-06-15T01:51:02,458
fig3,imagenet,ViT-B/16,4,1,1,o,both,all,0.25,71.22.,OK,2026-06-15T01:40:14,1495
fig3,eurosat,ViT-B/16,4,1,8,k,both,all,0.25,84.30.,OK,2026-06-15T01:58:40,594
fig3,imagenet,ViT-B/16,4,1,1,q_v,vision,all,0.25,69.72.,OK,2026-06-15T02:05:09,493
