table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,stanford_cars,ViT-B/16,4,1,4,o,text,all,0.25,74.89.,OK,2026-06-23T16:05:13,393
fig3,stanford_cars,ViT-B/16,4,1,4,o,both,all,0.25,76.97.,OK,2026-06-23T16:11:46,488
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,vision,all,0.25,72.30.,OK,2026-06-23T16:19:54,278
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,text,all,0.25,75.62.,OK,2026-06-23T16:24:32,406
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,both,all,0.25,77.35.,OK,2026-06-23T16:31:18,524
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k,vision,all,0.25,72.63.,OK,2026-06-23T16:40:02,291
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k,text,all,0.25,76.18.,OK,2026-06-23T16:44:53,430
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k,both,all,0.25,76.59.,OK,2026-06-23T16:52:03,554
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k_o,vision,all,0.25,73.41.,OK,2026-06-23T17:01:17,305
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k_o,text,all,0.25,75.71.,OK,2026-06-23T17:06:22,444
fig3,stanford_cars,ViT-B/16,4,1,4,q_v_k_o,both,all,0.25,77.18.,OK,2026-06-23T17:13:46,585
fig3,stanford_cars,ViT-B/16,4,1,8,k,vision,all,0.25,69.33.,OK,2026-06-23T17:23:31,264
fig3,stanford_cars,ViT-B/16,4,1,8,k,text,all,0.25,74.48.,OK,2026-06-23T17:27:55,388
fig3,stanford_cars,ViT-B/16,4,1,8,k,both,all,0.25,75.94.,OK,2026-06-23T17:34:23,496
fig3,stanford_cars,ViT-B/16,4,1,8,q,vision,all,0.25,69.22.,OK,2026-06-23T17:42:39,267
fig3,stanford_cars,ViT-B/16,4,1,8,q,text,all,0.25,74.11.,OK,2026-06-23T17:47:06,388
fig3,stanford_cars,ViT-B/16,4,1,8,q,both,all,0.25,75.79.,OK,2026-06-23T17:53:34,494
fig3,stanford_cars,ViT-B/16,4,1,8,v,vision,all,0.25,72.28.,OK,2026-06-23T18:01:48,266
fig3,stanford_cars,ViT-B/16,4,1,8,v,text,all,0.25,75.38.,OK,2026-06-23T18:06:14,390
fig3,stanford_cars,ViT-B/16,4,1,8,v,both,all,0.25,76.38.,OK,2026-06-23T18:12:44,491
fig3,stanford_cars,ViT-B/16,4,1,8,o,vision,all,0.25,72.02.,OK,2026-06-23T18:20:55,261
fig3,stanford_cars,ViT-B/16,4,1,8,o,text,all,0.25,76.06.,OK,2026-06-23T18:25:16,391
fig3,stanford_cars,ViT-B/16,4,1,8,o,both,all,0.25,77.33.,OK,2026-06-23T18:31:47,489
fig3,stanford_cars,ViT-B/16,4,1,8,q_v,vision,all,0.25,73.06.,OK,2026-06-23T18:39:56,277
fig3,stanford_cars,ViT-B/16,4,1,8,q_v,text,all,0.25,75.72.,OK,2026-06-23T18:44:33,409
