table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
table3,oxford_flowers,ViT-B/16,1,1,2,q_k_v,both,all,0.25,81.45.,OK,2026-06-14T21:01:08,164
table3,oxford_flowers,ViT-B/16,1,2,2,q_k_v,both,all,0.25,84.08.,OK,2026-06-14T21:03:52,168
table3,oxford_flowers,ViT-B/16,1,3,2,q_k_v,both,all,0.25,81.32.,OK,2026-06-14T21:06:40,158
table3,oxford_flowers,ViT-B/16,2,1,2,q_k_v,both,all,0.25,89.65.,OK,2026-06-14T21:09:18,249
table3,oxford_flowers,ViT-B/16,2,2,2,q_k_v,both,all,0.25,88.88.,OK,2026-06-14T21:13:27,251
table3,oxford_flowers,ViT-B/16,2,3,2,q_k_v,both,all,0.25,90.95.,OK,2026-06-14T21:17:38,250
table3,oxford_flowers,ViT-B/16,4,1,2,q_k_v,both,all,0.25,93.63.,OK,2026-06-14T21:21:48,426
table3,oxford_flowers,ViT-B/16,4,2,2,q_k_v,both,all,0.25,93.75.,OK,2026-06-14T21:28:54,425
table3,oxford_flowers,ViT-B/16,4,3,2,q_k_v,both,all,0.25,92.49.,OK,2026-06-14T21:35:59,427
table3,oxford_flowers,ViT-B/16,8,1,2,q_k_v,both,all,0.25,96.18.,OK,2026-06-14T21:43:06,769
table3,oxford_flowers,ViT-B/16,8,2,2,q_k_v,both,all,0.25,95.94.,OK,2026-06-14T21:55:55,772
table3,oxford_flowers,ViT-B/16,8,3,2,q_k_v,both,all,0.25,96.31.,OK,2026-06-14T22:08:47,760
table3,oxford_flowers,ViT-B/16,16,1,2,q_k_v,both,all,0.25,98.09.,OK,2026-06-14T22:21:27,1433
table3,oxford_flowers,ViT-B/16,16,2,2,q_k_v,both,all,0.25,97.85.,OK,2026-06-14T22:45:20,1433
table3,oxford_flowers,ViT-B/16,16,3,2,q_k_v,both,all,0.25,97.89.,OK,2026-06-14T23:09:13,1426
table3,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,84.99.,OK,2026-06-14T23:32:59,241
table3,food101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,84.73.,OK,2026-06-14T23:37:00,234
table3,food101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,84.25.,OK,2026-06-14T23:40:54,231
table3,food101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,83.24.,OK,2026-06-14T23:44:45,340
table3,food101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,83.29.,OK,2026-06-14T23:50:25,350
table3,food101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,83.36.,OK,2026-06-14T23:56:15,346
table3,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,82.75.,OK,2026-06-15T00:02:01,533
table3,food101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,83.27.,OK,2026-06-15T00:10:54,530
table3,food101,ViT-B/16,4,3,2,q_k_v,both,all,0.25,82.85.,OK,2026-06-15T00:19:44,526
table3,food101,ViT-B/16,8,1,2,q_k_v,both,all,0.25,83.13.,OK,2026-06-15T00:28:30,842
table3,food101,ViT-B/16,8,2,2,q_k_v,both,all,0.25,83.03.,OK,2026-06-15T00:42:32,847
table3,food101,ViT-B/16,8,3,2,q_k_v,both,all,0.25,83.21.,OK,2026-06-15T00:56:40,872
table3,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,84.61.,OK,2026-06-15T01:11:12,1516
table3,food101,ViT-B/16,16,2,2,q_k_v,both,all,0.25,83.97.,OK,2026-06-15T01:36:28,1495
table3,food101,ViT-B/16,16,3,2,q_k_v,both,all,0.25,83.85.,OK,2026-06-15T02:01:23,1513
table3,fgvc,ViT-B/16,1,1,2,q_k_v,both,all,0.25,27.81.,OK,2026-06-15T02:26:36,200
table3,fgvc,ViT-B/16,1,2,2,q_k_v,both,all,0.25,29.76.,OK,2026-06-15T02:29:56,200
table3,fgvc,ViT-B/16,1,3,2,q_k_v,both,all,0.25,31.80.,OK,2026-06-15T02:33:16,199
table3,fgvc,ViT-B/16,2,1,2,q_k_v,both,all,0.25,32.82.,OK,2026-06-15T02:36:35,294
table3,fgvc,ViT-B/16,2,2,2,q_k_v,both,all,0.25,33.87.,OK,2026-06-15T02:41:29,297
table3,fgvc,ViT-B/16,2,3,2,q_k_v,both,all,0.25,31.20.,OK,2026-06-15T02:46:26,289
table3,fgvc,ViT-B/16,4,1,2,q_k_v,both,all,0.25,38.79.,OK,2026-06-15T02:51:15,461
table3,fgvc,ViT-B/16,4,2,2,q_k_v,both,all,0.25,36.24.,OK,2026-06-15T02:58:56,467
table3,fgvc,ViT-B/16,4,3,2,q_k_v,both,all,0.25,38.94.,OK,2026-06-15T03:06:43,465
table3,fgvc,ViT-B/16,8,1,2,q_k_v,both,all,0.25,44.88.,OK,2026-06-15T03:14:28,821
table3,fgvc,ViT-B/16,8,2,2,q_k_v,both,all,0.25,46.59.,OK,2026-06-15T03:28:09,800
table3,fgvc,ViT-B/16,8,3,2,q_k_v,both,all,0.25,44.73.,OK,2026-06-15T03:41:29,802
table3,fgvc,ViT-B/16,16,1,2,q_k_v,both,all,0.25,55.27.,OK,2026-06-15T03:54:51,1464
table3,fgvc,ViT-B/16,16,2,2,q_k_v,both,all,0.25,54.37.,OK,2026-06-15T04:19:15,1464
table3,fgvc,ViT-B/16,16,3,2,q_k_v,both,all,0.25,55.15.,OK,2026-06-15T04:43:39,1465
table3,dtd,ViT-B/16,1,1,2,q_k_v,both,all,0.25,54.14.,OK,2026-06-15T05:08:04,186
table3,dtd,ViT-B/16,1,2,2,q_k_v,both,all,0.25,54.49.,OK,2026-06-15T05:11:10,183
table3,dtd,ViT-B/16,1,3,2,q_k_v,both,all,0.25,53.37.,OK,2026-06-15T05:14:13,177
table3,dtd,ViT-B/16,2,1,2,q_k_v,both,all,0.25,61.29.,OK,2026-06-15T05:17:10,297
table3,dtd,ViT-B/16,2,2,2,q_k_v,both,all,0.25,58.69.,OK,2026-06-15T05:22:07,300
table3,dtd,ViT-B/16,2,3,2,q_k_v,both,all,0.25,59.63.,OK,2026-06-15T05:27:07,298
table3,dtd,ViT-B/16,4,1,2,q_k_v,both,all,0.25,64.01.,OK,2026-06-15T05:32:05,456
table3,dtd,ViT-B/16,4,2,2,q_k_v,both,all,0.25,63.65.,OK,2026-06-15T05:39:41,477
table3,dtd,ViT-B/16,4,3,2,q_k_v,both,all,0.25,63.36.,OK,2026-06-15T05:47:38,448
table3,dtd,ViT-B/16,8,1,2,q_k_v,both,all,0.25,68.03.,OK,2026-06-15T05:55:06,722
table3,dtd,ViT-B/16,8,2,2,q_k_v,both,all,0.25,67.32.,OK,2026-06-15T06:07:08,711
table3,dtd,ViT-B/16,8,3,2,q_k_v,both,all,0.25,67.08.,OK,2026-06-15T06:18:59,707
table3,dtd,ViT-B/16,16,1,2,q_k_v,both,all,0.25,72.46.,OK,2026-06-15T06:30:46,1236
table3,dtd,ViT-B/16,16,2,2,q_k_v,both,all,0.25,71.99.,OK,2026-06-15T06:51:22,1227
table3,dtd,ViT-B/16,16,3,2,q_k_v,both,all,0.25,70.92.,OK,2026-06-15T07:11:49,1248
table3,ucf101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,75.44.,OK,2026-06-15T07:32:37,151
table3,ucf101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,76.00.,OK,2026-06-15T07:35:08,168
table3,ucf101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,76.63.,OK,2026-06-15T07:37:56,153
table3,ucf101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,79.28.,OK,2026-06-15T07:40:29,244
table3,ucf101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,80.57.,OK,2026-06-15T07:44:33,236
table3,ucf101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,80.57.,OK,2026-06-15T07:48:29,234
table3,ucf101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,79.54.,OK,2026-06-15T07:52:23,421
table3,ucf101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,82.18.,OK,2026-06-15T07:59:24,422
