shots,caltech101,dtd,eurosat,fgvc,food101,imagenet,oxford_flowers,oxford_pets,stanford_cars,ucf101,Average
1,94.04,54.65,73.24,29.82,85.38,70.26,81.28,91.73,70.0,75.4,72.58
2,94.98,59.55,83.27,31.89,85.17,70.88,90.0,91.24,73.44,80.1,76.05
4,95.47,64.6,86.32,36.99,85.3,71.66,94.03,91.6,77.43,81.49,78.49
8,95.95,68.38,90.2,44.64,85.65,72.63,96.13,92.73,82.11,84.26,81.27
16,96.46,74.02,92.84,54.68,86.27,73.77,98.08,93.4,85.91,86.79,84.22
