table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
table4,caltech101,ViT-B/32,2,2,q_k_v,both,all,3,93.9,0.41,190,569,"1,2,3"
table4,caltech101,ViT-B/32,4,2,q_k_v,both,all,3,94.17,0.45,314,943,"1,2,3"
table4,caltech101,ViT-B/32,8,2,q_k_v,both,all,3,94.43,0.13,545,1636,"1,2,3"
table4,caltech101,ViT-B/32,16,2,q_k_v,both,all,3,95.29,0.08,1019,3056,"1,2,3"
table4,dtd,ViT-B/32,1,2,q_k_v,both,all,3,49.45,0.48,177,532,"1,2,3"
table4,dtd,ViT-B/32,2,2,q_k_v,both,all,3,57.53,1.31,259,778,"1,2,3"
table4,dtd,ViT-B/32,4,2,q_k_v,both,all,3,60.77,1.27,351,1053,"1,2,3"
table4,dtd,ViT-B/32,8,2,q_k_v,both,all,3,63.67,1.07,535,1604,"1,2,3"
table4,dtd,ViT-B/32,16,2,q_k_v,both,all,3,68.95,1.05,884,2653,"1,2,3"
table4,eurosat,ViT-B/32,1,2,q_k_v,both,all,3,67.88,4.8,245,735,"1,2,3"
table4,eurosat,ViT-B/32,2,2,q_k_v,both,all,3,80.68,2.0,480,1439,"1,2,3"
table4,eurosat,ViT-B/32,4,2,q_k_v,both,all,3,84.43,2.61,600,1801,"1,2,3"
table4,eurosat,ViT-B/32,8,2,q_k_v,both,all,3,89.06,1.73,918,2754,"1,2,3"
table4,eurosat,ViT-B/32,16,2,q_k_v,both,all,3,91.89,0.79,1334,4003,"1,2,3"
table4,fgvc,ViT-B/32,1,2,q_k_v,both,all,3,22.93,1.01,170,510,"1,2,3"
table4,fgvc,ViT-B/32,2,2,q_k_v,both,all,3,23.64,0.74,247,742,"1,2,3"
table4,fgvc,ViT-B/32,4,2,q_k_v,both,all,3,28.31,0.74,375,1124,"1,2,3"
table4,fgvc,ViT-B/32,8,2,q_k_v,both,all,3,35.68,0.64,662,1987,"1,2,3"
