shots,caltech101,dtd,eurosat,fgvc,food101,imagenet,oxford_flowers,oxford_pets,stanford_cars,ucf101,Average
1,93.9,54.0,71.1,29.79,84.66,70.4,82.28,91.91,69.82,76.02,72.39
2,94.81,59.87,82.05,32.63,83.3,70.84,89.83,90.65,73.37,80.14,75.75
4,94.98,63.67,85.25,37.99,82.96,71.52,93.29,90.54,77.07,81.12,77.84
8,95.7,67.48,89.08,45.4,83.12,72.37,96.14,91.34,82.09,84.03,80.67
16,96.19,71.79,92.34,54.93,84.14,73.56,97.94,92.35,86.27,86.4,83.59
