shots,caltech101,dtd,eurosat,fgvc,food101,imagenet,oxford_flowers,oxford_pets,stanford_cars,ucf101,Average
1,92.97,49.45,67.88,22.93,78.55,65.26,77.45,88.02,63.59,72.22,67.83
2,93.9,57.53,80.68,23.64,76.55,65.7,84.22,86.81,64.62,75.36,70.9
4,94.17,60.77,84.43,28.31,76.05,66.55,90.15,86.34,68.45,76.05,73.13
8,94.43,63.67,89.06,35.68,76.82,67.17,92.67,88.22,74.6,80.18,76.25
16,95.29,68.95,91.89,46.07,78.11,68.36,96.05,89.04,79.9,82.15,79.58
