table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
fig3,eurosat,ViT-B/16,4,8,o,both,all,1,83.94,0.0,545,545,1
fig3,eurosat,ViT-B/16,4,8,o,text,all,1,78.86,0.0,404,404,1
fig3,eurosat,ViT-B/16,4,8,o,vision,all,1,86.23,0.0,536,536,1
fig3,eurosat,ViT-B/16,4,8,q,both,all,1,86.84,0.0,540,540,1
fig3,eurosat,ViT-B/16,4,8,q,text,all,1,75.95,0.0,449,449,1
fig3,eurosat,ViT-B/16,4,8,q,vision,all,1,88.47,0.0,443,443,1
fig3,eurosat,ViT-B/16,4,8,q_v,both,all,1,88.98,0.0,591,591,1
fig3,eurosat,ViT-B/16,4,8,q_v,text,all,1,78.07,0.0,492,492,1
fig3,eurosat,ViT-B/16,4,8,q_v,vision,all,1,87.96,0.0,483,483,1
fig3,eurosat,ViT-B/16,4,8,q_v_k,both,all,1,86.58,0.0,629,629,1
fig3,eurosat,ViT-B/16,4,8,q_v_k,text,all,1,78.42,0.0,567,567,1
fig3,eurosat,ViT-B/16,4,8,q_v_k,vision,all,1,88.02,0.0,455,455,1
fig3,eurosat,ViT-B/16,4,8,q_v_k_o,both,all,1,87.65,0.0,613,613,1
fig3,eurosat,ViT-B/16,4,8,q_v_k_o,text,all,1,78.54,0.0,511,511,1
fig3,eurosat,ViT-B/16,4,8,q_v_k_o,vision,all,1,87.96,0.0,512,512,1
fig3,eurosat,ViT-B/16,4,8,v,both,all,1,85.79,0.0,567,567,1
fig3,eurosat,ViT-B/16,4,8,v,text,all,1,78.46,0.0,484,484,1
fig3,eurosat,ViT-B/16,4,8,v,vision,all,1,87.69,0.0,465,465,1
fig3,eurosat,ViT-B/16,4,16,k,both,all,1,86.3,0.0,553,553,1
fig3,eurosat,ViT-B/16,4,16,k,text,all,1,76.17,0.0,491,491,1
fig3,eurosat,ViT-B/16,4,16,k,vision,all,1,87.7,0.0,479,479,1
fig3,eurosat,ViT-B/16,4,16,o,both,all,1,85.43,0.0,532,532,1
fig3,eurosat,ViT-B/16,4,16,o,text,all,1,79.43,0.0,468,468,1
fig3,eurosat,ViT-B/16,4,16,o,vision,all,1,87.63,0.0,459,459,1
fig3,eurosat,ViT-B/16,4,16,q,both,all,1,87.37,0.0,558,558,1
fig3,eurosat,ViT-B/16,4,16,q,text,all,1,76.36,0.0,432,432,1
fig3,eurosat,ViT-B/16,4,16,q,vision,all,1,89.01,0.0,452,452,1
fig3,eurosat,ViT-B/16,4,16,q_v,both,all,1,88.7,0.0,622,622,1
fig3,eurosat,ViT-B/16,4,16,q_v,text,all,1,77.96,0.0,466,466,1
fig3,eurosat,ViT-B/16,4,16,q_v,vision,all,1,88.67,0.0,480,480,1
fig3,eurosat,ViT-B/16,4,16,q_v_k,both,all,1,85.47,0.0,579,579,1
fig3,eurosat,ViT-B/16,4,16,q_v_k,text,all,1,78.8,0.0,513,513,1
fig3,eurosat,ViT-B/16,4,16,q_v_k,vision,all,1,87.67,0.0,505,505,1
fig3,eurosat,ViT-B/16,4,16,q_v_k_o,both,all,1,88.05,0.0,634,634,1
fig3,eurosat,ViT-B/16,4,16,q_v_k_o,text,all,1,77.67,0.0,501,501,1
fig3,eurosat,ViT-B/16,4,16,q_v_k_o,vision,all,1,88.21,0.0,503,503,1
fig3,eurosat,ViT-B/16,4,16,v,both,all,1,86.94,0.0,612,612,1
fig3,eurosat,ViT-B/16,4,16,v,text,all,1,78.77,0.0,467,467,1
fig3,eurosat,ViT-B/16,4,16,v,vision,all,1,87.58,0.0,445,445,1
fig3,eurosat,ViT-B/16,4,32,k,both,all,1,86.16,0.0,538,538,1
fig3,eurosat,ViT-B/16,4,32,k,text,all,1,77.77,0.0,442,442,1
fig3,eurosat,ViT-B/16,4,32,k,vision,all,1,88.47,0.0,432,432,1
fig3,eurosat,ViT-B/16,4,32,o,both,all,1,85.77,0.0,615,615,1
fig3,eurosat,ViT-B/16,4,32,o,text,all,1,79.73,0.0,453,453,1
fig3,eurosat,ViT-B/16,4,32,o,vision,all,1,85.37,0.0,446,446,1
fig3,eurosat,ViT-B/16,4,32,q,both,all,1,87.89,0.0,549,549,1
fig3,eurosat,ViT-B/16,4,32,q,text,all,1,77.21,0.0,461,461,1
fig3,eurosat,ViT-B/16,4,32,q,vision,all,1,89.81,0.0,518,518,1
fig3,eurosat,ViT-B/16,4,32,q_v,both,all,1,86.83,0.0,565,565,1
fig3,eurosat,ViT-B/16,4,32,q_v,text,all,1,77.98,0.0,462,462,1
fig3,eurosat,ViT-B/16,4,32,q_v,vision,all,1,88.3,0.0,504,504,1
fig3,eurosat,ViT-B/16,4,32,q_v_k,both,all,1,88.14,0.0,584,584,1
fig3,eurosat,ViT-B/16,4,32,q_v_k,text,all,1,79.46,0.0,500,500,1
fig3,eurosat,ViT-B/16,4,32,q_v_k,vision,all,1,89.41,0.0,464,464,1
fig3,eurosat,ViT-B/16,4,32,q_v_k_o,both,all,1,87.83,0.0,632,632,1
fig3,eurosat,ViT-B/16,4,32,q_v_k_o,text,all,1,78.74,0.0,542,542,1
fig3,eurosat,ViT-B/16,4,32,q_v_k_o,vision,all,1,87.12,0.0,513,513,1
fig3,eurosat,ViT-B/16,4,32,v,both,all,1,85.42,0.0,573,573,1
fig3,eurosat,ViT-B/16,4,32,v,text,all,1,78.96,0.0,463,463,1
fig3,eurosat,ViT-B/16,4,32,v,vision,all,1,86.12,0.0,455,455,1
fig3,imagenet,ViT-B/16,4,1,k,both,all,1,70.44,0.0,1519,1519,1
fig3,imagenet,ViT-B/16,4,1,k,text,all,1,70.49,0.0,1419,1419,1
fig3,imagenet,ViT-B/16,4,1,k,vision,all,1,68.56,0.0,472,472,1
fig3,imagenet,ViT-B/16,4,1,o,both,all,1,71.22,0.0,1495,1495,1
fig3,imagenet,ViT-B/16,4,1,o,text,all,1,70.75,0.0,1400,1400,1
fig3,imagenet,ViT-B/16,4,1,o,vision,all,1,69.53,0.0,476,476,1
fig3,imagenet,ViT-B/16,4,1,q,both,all,1,70.83,0.0,1522,1522,1
fig3,imagenet,ViT-B/16,4,1,q,text,all,1,70.31,0.0,1418,1418,1
fig3,imagenet,ViT-B/16,4,1,q,vision,all,1,69.0,0.0,480,480,1
fig3,imagenet,ViT-B/16,4,1,q_v,both,all,1,71.31,0.0,1588,1588,1
fig3,imagenet,ViT-B/16,4,1,q_v,text,all,1,70.88,0.0,1479,1479,1
fig3,imagenet,ViT-B/16,4,1,q_v,vision,all,1,69.72,0.0,493,493,1
fig3,imagenet,ViT-B/16,4,1,q_v_k,both,all,1,71.28,0.0,1669,1669,1
fig3,imagenet,ViT-B/16,4,1,q_v_k,text,all,1,70.94,0.0,1545,1545,1
fig3,imagenet,ViT-B/16,4,1,q_v_k,vision,all,1,69.9,0.0,504,504,1
fig3,imagenet,ViT-B/16,4,1,q_v_k_o,both,all,1,71.65,0.0,1749,1749,1
fig3,imagenet,ViT-B/16,4,1,q_v_k_o,text,all,1,71.16,0.0,1612,1612,1
fig3,imagenet,ViT-B/16,4,1,q_v_k_o,vision,all,1,69.91,0.0,514,514,1
fig3,imagenet,ViT-B/16,4,1,v,both,all,1,71.35,0.0,1514,1514,1
fig3,imagenet,ViT-B/16,4,1,v,text,all,1,70.81,0.0,1413,1413,1
fig3,imagenet,ViT-B/16,4,1,v,vision,all,1,69.44,0.0,478,478,1
fig3,imagenet,ViT-B/16,4,2,k,both,all,1,70.71,0.0,1511,1511,1
fig3,imagenet,ViT-B/16,4,2,k,text,all,1,70.54,0.0,1410,1410,1
fig3,imagenet,ViT-B/16,4,2,k,vision,all,1,68.58,0.0,474,474,1
