table,dataset,backbone,shots,rank,params,encoder,position,kl_weight,kl_temp,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
kl_table3,caltech101,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,96.46,0.26,1641,4923,"1,2,3"
kl_table3,dtd,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,54.65,1.19,192,577,"1,2,3"
kl_table3,dtd,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,59.55,1.33,316,949,"1,2,3"
kl_table3,dtd,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,64.6,0.31,638,1913,"1,2,3"
kl_table3,dtd,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,68.38,1.91,921,2763,"1,2,3"
kl_table3,dtd,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,74.02,0.74,1627,4882,"1,2,3"
kl_table3,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,73.24,5.07,228,683,"1,2,3"
kl_table3,eurosat,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,83.27,3.25,457,1371,"1,2,3"
kl_table3,eurosat,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,86.32,2.71,637,1910,"1,2,3"
kl_table3,eurosat,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,90.2,0.61,1110,3330,"1,2,3"
kl_table3,eurosat,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,92.84,0.97,2058,6173,"1,2,3"
kl_table3,fgvc,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,29.82,1.36,204,612,"1,2,3"
kl_table3,fgvc,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,31.89,1.49,311,932,"1,2,3"
kl_table3,fgvc,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,36.99,1.51,521,1562,"1,2,3"
kl_table3,fgvc,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,44.64,1.13,922,2765,"1,2,3"
kl_table3,fgvc,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,54.68,0.44,1704,5111,"1,2,3"
kl_table3,food101,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,85.38,0.5,251,752,"1,2,3"
kl_table3,food101,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,85.17,0.3,357,1071,"1,2,3"
kl_table3,food101,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,85.3,0.12,562,1685,"1,2,3"
kl_table3,food101,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,85.65,0.23,951,2853,"1,2,3"
kl_table3,food101,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,86.27,0.18,1737,5210,"1,2,3"
kl_table3,imagenet,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,70.26,0.13,674,2022,"1,2,3"
kl_table3,imagenet,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,70.88,0.09,1068,3205,"1,2,3"
kl_table3,imagenet,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,71.66,0.02,1857,5570,"1,2,3"
kl_table3,imagenet,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,72.63,0.08,3413,10238,"1,2,3"
kl_table3,imagenet,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,73.77,0.12,6492,19475,"1,2,3"
kl_table3,oxford_flowers,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,81.28,1.8,257,770,"1,2,3"
kl_table3,oxford_flowers,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,90.0,0.39,357,1070,"1,2,3"
kl_table3,oxford_flowers,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,94.03,0.25,523,1568,"1,2,3"
kl_table3,oxford_flowers,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,96.13,0.35,871,2613,"1,2,3"
kl_table3,oxford_flowers,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,98.08,0.42,1664,4993,"1,2,3"
kl_table3,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,91.73,0.77,208,623,"1,2,3"
kl_table3,oxford_pets,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,91.24,0.55,332,997,"1,2,3"
kl_table3,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,91.6,0.14,540,1619,"1,2,3"
kl_table3,oxford_pets,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,92.73,0.12,842,2526,"1,2,3"
kl_table3,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,93.4,0.31,1688,5064,"1,2,3"
kl_table3,stanford_cars,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,70.0,0.37,222,667,"1,2,3"
kl_table3,stanford_cars,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,73.44,0.65,354,1063,"1,2,3"
kl_table3,stanford_cars,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,77.43,0.07,622,1867,"1,2,3"
kl_table3,stanford_cars,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,82.11,0.58,1147,3441,"1,2,3"
kl_table3,stanford_cars,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,85.91,0.39,2181,6543,"1,2,3"
kl_table3,ucf101,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,75.4,0.78,232,695,"1,2,3"
kl_table3,ucf101,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,80.1,0.69,339,1017,"1,2,3"
kl_table3,ucf101,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,81.49,1.59,543,1629,"1,2,3"
kl_table3,ucf101,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,84.26,0.04,905,2716,"1,2,3"
kl_table3,ucf101,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,86.79,0.46,1701,5103,"1,2,3"
